mode,method,label,left_aggregate_mean,left_aggregate_std,right_aggregate_mean,right_aggregate_std,x_raw_mean,x_raw_std,x_smooth_mean,x_smooth_std,total_activation_mean,total_activation_std,abs_direction_mean,abs_direction_std
centered,mean,norm,0.9971687657216513,0.014928401402808296,0.9972696439068521,0.015225077880395376,0.00010087818520084448,0.005814380192323566,0.0001062347770630686,0.004958189054820015,1.9944384096285035,0.029589074213196762,0.0009284557465892079,0.004871640519382333
centered,max,Jaws,0.9946546018785848,0.014203912215552299,0.9951460428769618,0.015155678177172924,0.0004914409983769733,0.012154408411825319,0.0004513347689334418,0.011007020733268948,1.9898006447555467,0.02674250853291129,0.003520251385901331,0.010438621629968486
centered,max,Jleft,1.0,0.0,1.0,0.0,0.0,0.0,3.15321360457505e-159,7.232520543613561e-158,2.0,0.0,3.15321360457505e-159,7.232520543613561e-158
centered,max,Jright,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1e-323,0.0
centered,max,norm,0.9986842945521142,0.007427971177240477,0.9988003278461816,0.009038768234542392,0.00011603329406733266,0.007880994235437781,0.00012222178321111152,0.006989268011712776,1.9974846223982956,0.014547786906480538,0.001157898582668186,0.006893769357118375
scaled,mean,Jaws,0.755086879967236,0.38048857280462955,0.7362582587259515,0.3701480394851395,-0.018828621241284545,0.04062383055363642,-0.018858471241635165,0.04017384635032808,1.4913451386931875,0.7496078673081982,0.02707179093685678,0.03516618165751758
scaled,mean,Jleft,0.8755257418385222,0.11991332510147255,0.8852118314716122,0.11976651167586781,0.009686089633089841,0.023936211914542316,0.009585302601546528,0.02381679982434633,1.7607375733101345,0.23848166275623064,0.020402182210841297,0.015583213592966414
scaled,mean,Jright,0.7673837000676006,0.2764957639136498,0.7528533178261498,0.2664738641653892,-0.01453038224145078,0.04867351388198944,-0.014496708360374425,0.04846050181853844,1.5202370178937503,0.5408764595887249,0.036807643929054126,0.03469377159841382
scaled,mean,norm,0.8097950906056192,0.2955899680253359,0.7985030390952164,0.29411620625564033,-0.011292051510402816,0.03497277018690488,-0.011277072549403567,0.03488164665415768,1.6082981297008356,0.5886700682931916,0.0233840999947086,0.02823258826994659
scaled,max,Jaws,0.7763990908785388,0.3894597999315724,0.7658156605804883,0.3841297242970277,-0.010583430298050402,0.025673882840008017,-0.010413430910632251,0.02528015691567402,1.542214751459027,0.7731817467079897,0.018430439800110724,0.02019459516697169
scaled,max,Jleft,0.961223281483844,0.04517868580591392,0.9468363866901482,0.061004952587548414,-0.014386894793695652,0.026336619668860275,-0.014465472461177471,0.02634878840331028,1.9080596681739923,0.10407602148014261,0.021882452854995522,0.02060679200440723
scaled,max,Jright,0.8535094820141169,0.18110513204980835,0.7996715445990467,0.22200555110695236,-0.05383793741507022,0.05466797988090796,-0.053899142100855994,0.05438573262788464,1.6531810266131635,0.4014753779871192,0.05613789213273705,0.05207146905592122
scaled,max,norm,0.8548938331100432,0.2725012904813784,0.8280980888502224,0.2827402869825068,-0.026795744259820772,0.04227149782209496,-0.026800411796763717,0.04205551697457496,1.6829919219602656,0.5537248114955697,0.029883630718138286,0.03992360833944242
filtered,mean,Jaws,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
filtered,mean,Jleft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
filtered,mean,Jright,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
filtered,mean,norm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
filtered,max,Jaws,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
filtered,max,Jleft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
filtered,max,Jright,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
filtered,max,norm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
